time;ouverture;plus haut;plus bas;cloture;v
2207150208;20371.73899;20372.69349;20371.229;20372.69349;0
2207150209;20367.89;20371.96999;20346.46999;20356.618;0
2207150210;20357.7385;20385.7545;20350.39;20384.6795;0
2207150211;20368.35;20397.7145;20368.35;20384.49849;0
2207150212;20369.61499;20393.4675;20368.785;20392.4475;0
2207150213;20385.243;20392.4475;20369.42;20370.78;0
2207150214;20381.69899;20381.71399;20369.93499;20378.58049;0
2207150215;20376.11499;20387.763;20365.76;20379.66399;0
2207150216;20379.65949;20379.65949;20361.955;20374.5925;0
2207150217;20376.87349;20376.87349;20353.30999;20368.80999;0
2207150218;20373.705;20383.36099;20359.405;20382.05799;0
2207150219;20368.105;20382.05799;20366.995;20382.05799;0
2207150220;20382.05799;20387.064;20364.6;20372.403;0
2207150221;20367.86549;20376.31099;20360.32499;20370.1685;0
2207150222;20365.55299;20377.47349;20356.19999;20362.12999;0
2207150223;20378.068;20401.4295;20371.08999;20400.52399;0
2207150224;20380.19999;20404.798;20380.19999;20398.8785;0
2207150225;20395.205;20401.83649;20378.00499;20395.8415;0
2207150226;20400.34299;20426.58849;20392.456;20422.19349;0
2207150227;20417.745;20418.5385;20396.59499;20406.69599;0
2207150228;20406.22099;20411.868;20386.85;20410.82;0
2207150229;20406.68499;20427.2675;20393.16499;20423.0715;0
2207150230;20420.94599;20422.368;20407.265;20411.4185;0
2207150231;20410.671;20418.815;20389.07499;20407.82799;0
2207150232;20411.95199;20415.89799;20394.64;20397.48499;0
2207150233;20415.3465;20415.3465;20389.52499;20408.606;0
2207150234;20422.2015;20423.39599;20403.655;20414.21;0
2207150235;20420.69699;20432.43849;20401.91;20426.5405;0
2207150236;20429.6145;20454.1115;20426.62349;20453.21899;0
2207150237;20451.22649;20499.53;20431.55999;20492.3625;0
2207150238;20506.62999;20507.14399;20483.09199;20505.71349;0
2207150239;20487.39499;20569.5185;20487.39499;20555.6435;0
2207150240;20566.336;20692.60449;20550.23699;20688.45099;0
2207150241;20671.07499;20709.61299;20637.39499;20654.79399;0
2207150242;20658.53249;20671.101;20632.43199;20638.60349;0
2207150243;20624.78999;20628.67999;20589.8285;20597.37899;0
2207150244;20590.7185;20640.9465;20590.7185;20639.50499;0
2207150245;20632.3635;20645.598;20601.41499;20627.873;0
2207150246;20620.94599;20623.5255;20595.85999;20614.69799;0
2207150247;20615.93499;20621.4005;20596.40449;20596.91949;0
2207150248;20595.924;20598.84949;20573.31649;20576.03;0
2207150249;20583.67;20606.23;20579.71;20604.0785;0
2207150250;20602.46999;20603.64499;20560.83149;20561.61199;0
2207150251;20566.259;20569.68399;20536.979;20539.69;0
2207150252;20538.675;20590.20949;20530.729;20581.48999;0
2207150253;20590.5175;20607.675;20589.48049;20592.61549;0
2207150254;20589.72549;20668.63649;20589.11499;20665.22749;0
2207150255;20637.41099;20693.617;20619.744;20690.995;0
2207150256;20691.284;20702.09499;20658.0215;20690.23299;0
2207150257;20684.67449;20731.088;20684.67449;20712.0245;0
2207150258;20712.1245;20712.642;20678.60349;20691.50699;0
2207150259;20696.01049;20711.49249;20688.033;20693.65749;0
2207150260;20687.136;20693.658;20648.27649;20653.051;0
2207150261;20652.37349;20655.52499;20620.741;20629.81949;0
2207150262;20637.36499;20658.81849;20620.60999;20632.265;0
2207150263;20632.2695;20651.55999;20620.23499;20648.65249;0
2207150264;20649.34499;20663.955;20646.06949;20656.07499;0
2207150265;20655.67999;20657.44049;20618.386;20622.4155;0
2207150266;20619.56449;20641.4295;20612.84499;20622.7195;0
2207150267;20618.90349;20634.7185;20607.55999;20628.5575;0
2207150268;20621.50399;20626.91099;20592.20549;20592.20549;0
2207150269;20593.34499;20599.6495;20571.17449;20584.70549;0
2207150270;20588.355;20589.192;20560.835;20589.192;0
2207150271;20602.6825;20617.2675;20588.1605;20605.725;0
2207150272;20605.53449;20605.53449;20567.08449;20567.08449;0
2207150273;20571.57099;20573.564;20532.12499;20547.16899;0
2207150274;20555.17349;20555.17349;20532.99349;20539.83449;0
2207150277;20509.68499;20531.01999;20509.68499;20531.01999;0
2207150278;20532.26999;20533.27499;20518.174;20522.79849;0
2207150279;20511.69349;20529.96899;20491.93749;20525.06549;0
2207150280;20523.45399;20527.8935;20509.05499;20518.8745;0
2207150281;20522.29849;20532.98199;20518.785;20530.18199;0
2207150282;20531.2335;20543.54099;20521.16;20539.94449;0
2207150283;20538.48149;20542.71399;20526.3965;20528.187;0
2207150284;20525.83449;20530.58749;20511.77499;20517.92749;0
2207150285;20519.09399;20533.15949;20516.3825;20518.46;0
2207150286;20532.3795;20532.3795;20504.68499;20517.4505;0
2207150287;20518.6285;20523.568;20502.52949;20502.52949;0
2207150288;20494.205;20508.459;20479.695;20479.97949;0
2207150289;20480.2345;20490.80699;20454.155;20457.7725;0
2207150290;20457.262;20488.9545;20413.58899;20431.86849;0
2207150291;20424.89499;20453.46399;20415.64499;20425.13349;0
2207150292;20424.50849;20439.0195;20414.885;20422.54649;0
2207150293;20435.052;20435.052;20356.11949;20364.63849;0
2207150294;20368.54549;20379.2505;20338.71;20362.33899;0
2207150295;20362.421;20373.82499;20342.78999;20366.2195;0
2207150296;20362.44;20379.55999;20362.44;20376.2535;0
2207150297;20375.74449;20417.62699;20373.44999;20407.71999;0
2207150298;20406.50949;20414.4115;20389.512;20398.20649;0
2207150299;20393.6805;20404.56349;20385.91399;20400.38649;0
2207150300;20409.461;20412.35799;20391.46499;20405.86099;0
2207150301;20402.42449;20406.1;20383.14;20400.533;0
2207150302;20395.57099;20407.9485;20376.955;20401.11099;0
2207150303;20400.84849;20408.09299;20383.795;20405.32899;0
2207150304;20406.8065;20428.75949;20403.355;20421.87699;0
2207150305;20414.66499;20426.69549;20401.39499;20415.79649;0
2207150306;20413.23999;20430.3425;20397.80499;20423.266;0
2207150307;20426.87899;20440.61399;20406.43499;20421.71;0
2207150308;20429.68599;20453.52499;20426.8755;20453.43599;0
2207150309;20450.96999;20469.43199;20448.64999;20453.77749;0
2207150310;20456.713;20469.10799;20451.85999;20466.44049;0
2207150311;20463.6675;20485.21149;20451.995;20484.046;0
2207150312;20482.9855;20482.98799;20455.925;20466.331;0
2207150313;20466.98899;20466.98899;20424.16499;20447.516;0
2207150314;20451.08849;20454.33899;20435.85;20449.24999;0
2207150315;20459.79849;20465.212;20437.082;20437.19149;0
2207150316;20437.082;20437.191;20424.369;20431.30249;0
2207150317;20431.3225;20455.68749;20422.30499;20455.68749;0
2207150318;20449.24349;20455.69049;20415.23;20428.249;0
2207150319;20425.27749;20438.7495;20416.33999;20434.496;0
2207150320;20421.23499;20434.5975;20395.24249;20399.30399;0
2207150321;20399.3075;20399.3435;20377.035;20385.68399;0
2207150322;20377.78999;20401.44249;20369.83999;20400.3825;0
2207150323;20400.38749;20431.5255;20389.78;20416.60149;0
2207150324;20421.59199;20435.59849;20412.92;20428.11949;0
2207150325;20411.73;20437.8395;20411.73;20435.88949;0
2207150326;20442.296;20453.14499;20435.57;20446.29099;0
2207150327;20447.33649;20461.94799;20426.05999;20461.94799;0
2207150328;20461.9515;20461.9515;20444.1635;20451.3435;0
2207150329;20450.31349;20451.33349;20423.065;20435.831;0
2207150330;20441.013;20453.2905;20435.58999;20452.194;0
2207150331;20452.1965;20456.97749;20429.695;20445.7905;0
2207150332;20444.8435;20444.8435;20427.99999;20433.334;0
2207150333;20428.17549;20446.2335;20424.85;20446.2335;0
2207150334;20437.87;20446.2335;20423.68499;20436.87;0
2207150335;20442.51899;20449.99649;20430.885;20449.99649;0
2207150336;20467.0925;20479.991;20451.0195;20458.85;0
2207150337;20451.09499;20472.07;20451.09499;20470.69899;0
2207150338;20462.785;20474.55999;20445.83;20464.82199;0
2207150339;20459.05999;20469.16299;20446.21499;20466.26799;0
2207150340;20466.087;20470.5725;20448.35999;20457.86499;0
2207150341;20458.37899;20473.568;20444.23;20470.99649;0
2207150342;20464.265;20470.99649;20441.37499;20463.4315;0
2207150343;20455.89499;20463.4315;20444.96499;20448.30999;0
2207150344;20468.636;20481.4645;20443.135;20466.22549;0
2207150345;20469.67149;20486.20399;20462.045;20470.081;0
2207150346;20470.0765;20495.45749;20454.295;20495.45749;0
2207150347;20509.23599;20510.0385;20485.765;20504.83999;0
2207150348;20504.83249;20504.835;20472.03999;20480.26649;0
2207150349;20482.427;20482.42999;20465.26;20478.99649;0
2207150350;20478.48499;20484.58749;20447.28;20453.84199;0
2207150351;20451.15349;20470.15649;20441.83;20469.60799;0
2207150352;20468.9345;20473.763;20451.02499;20463.481;0
2207150353;20461.9335;20472.24999;20448.32;20468.12599;0
2207150354;20474.48299;20483.747;20458.6;20480.09199;0
2207150355;20480.09399;20494.17349;20463.03;20486.015;0
2207150356;20489.74999;20520.69699;20489.14;20512.535;0
2207150357;20499.01;20562.38299;20499.01;20557.46799;0
2207150358;20555.9105;20560.5535;20539.0535;20543.05299;0
2207150359;20543.0535;20549.134;20531.34499;20544.46149;0
2207150360;20545.28599;20573.97849;20524.82;20544.03049;0
2207150361;20538.1455;20573.797;20516.905;20572.77099;0
2207150362;20573.439;20573.8295;20548.50599;20548.50599;0
2207150363;20537.63449;20547.51999;20515.50499;20526.759;0
2207150364;20527.801;20543.46;20511.835;20529.21799;0
2207150365;20526.925;20537.09949;20512.68499;20520.59099;0
2207150366;20523.42349;20555.58999;20509.195;20550.38849;0
2207150367;20549.9115;20568.11299;20536.69999;20568.11299;0
2207150368;20572.08149;20603.426;20570.02299;20596.9325;0
2207150369;20599.4885;20618.37349;20588.545;20616.46499;0
2207150370;20614.46999;20618.56099;20599.48999;20605.36499;0
2207150371;20603.943;20617.97949;20595.695;20605.80499;0
2207150372;20607.36499;20616.141;20592.5925;20613.4485;0
2207150373;20613.5955;20616.1;20596.015;20607.86499;0
2207150374;20607.35;20617.5435;20598.05049;20617.5435;0
2207150375;20614.152;20621.5965;20593.247;20593.247;0
2207150376;20593.5215;20594.0365;20576.07;20582.748;0
2207150377;20582.74999;20598.47449;20569.67;20583.70099;0
2207150378;20578.68499;20582.13849;20560.53999;20572.189;0
2207150379;20572.19049;20583.159;20564.86499;20583.159;0
2207150380;20578.639;20582.6445;20557.92;20574.711;0
2207150381;20575.06649;20579.66;20559.675;20572.38349;0
2207150382;20569.71999;20590.82049;20560.84499;20584.2005;0
2207150383;20593.25499;20607.885;20584.1995;20585.39499;0
2207150384;20591.20949;20591.20949;20571.14;20571.14;0
2207150385;20582.747;20608.421;20571.71499;20603.01;0
2207150386;20597.047;20600.43849;20578.1;20597.33749;0
2207150387;20587.39499;20597.337;20585.12999;20585.12999;0
2207150388;20594.1625;20607.817;20590.4895;20605.2555;0
2207150389;20606.3405;20619.731;20596.61499;20617.921;0
2207150390;20621.38449;20631.945;20586.92899;20586.92899;0
2207150391;20584.33849;20586.78;20553.535;20554.54749;0
2207150392;20551.873;20551.873;20514.93499;20524.5565;0
2207150393;20523.51799;20524.42149;20481.01999;20498.499;0
2207150394;20494.67999;20500.8795;20474.27499;20492.993;0
2207150395;20480.565;20504.7005;20480.565;20502.78349;0
2207150396;20504.3965;20509.0225;20481.33;20506.439;0
2207150397;20512.588;20515.2745;20494.765;20513.50499;0
2207150398;20507.62499;20528.0045;20503.69;20526.1435;0
2207150399;20526.30599;20529.064;20509.30399;20509.30399;0
2207150400;20503.764;20509.409;20464.5735;20482.457;0
2207150401;20482.18749;20485.3595;20459.765;20472.82399;0
2207150402;20474.58999;20484.01;20462.495;20482.672;0
2207150403;20467.69;20495.337;20465.66499;20493.13199;0
2207150404;20488.262;20488.262;20451.67999;20472.45299;0
2207150405;20473.0615;20482.62049;20454.87499;20475.16699;0
2207150406;20477.55799;20492.42799;20468.37999;20486.74349;0
2207150407;20487.25499;20513.569;20481.425;20504.405;0
2207150408;20499.338;20504.405;20482.73;20502.921;0
2207150409;20503.6265;20511.72199;20479.69;20479.69;0
2207150410;20499.299;20499.299;20472.36499;20477.39;0
2207150411;20478.7535;20480.74749;20447.21999;20468.8255;0
2207150412;20467.72549;20468.63549;20441.725;20452.98149;0
2207150413;20451.494;20465.68749;20444.33999;20453.264;0
2207150414;20457.1505;20470.639;20448.0175;20452.8925;0
2207150415;20444.427;20449.713;20409.905;20429.12;0
2207150416;20433.39699;20443.0575;20419.67;20443.0575;0
2207150417;20444.04849;20474.0175;20444.04849;20457.37599;0
2207150418;20459.8425;20481.44049;20453.39499;20468.7395;0
2207150419;20451.64;20479.0355;20451.64;20470.009;0
